time,open,high,low,close,Volume
1674100800,20749,20874,20749,20812.5,5537.102
1674104400,20812.5,20852,20797,20814,3879.467
1674108000,20814,20857,20801.5,20830.5,4030.944
1674111600,20830.5,20847.5,20808.5,20819.5,3980.509
1674115200,20819.5,20847.5,20766.5,20774.5,4816.194
1674118800,20774.5,20812.5,20740.5,20799.5,4569.083
1674122400,20799.5,20804.5,20759,20800,4087.548
1674126000,20800,20801.5,20715.5,20749.5,5321.193
1674129600,20749.5,20782,20687,20738,5165.25
1674133200,20738,20813.5,20670,20781.5,9820.73
1674136800,20781.5,20882,20725,20800,10448.147
1674140400,20800,20956,20789.5,20873,9279.375
1674144000,20873,20925,20823,20875.5,5330.124
1674147600,20875.5,20947.5,20796,20842,7607.424
1674151200,20842,21015,20836.5,20978.5,8159.74
1674154800,20978.5,21141,20945,21093,9786.305
1674158400,21093,21185,21037.5,21095,10047.561
1674162000,21095,21112,20922,20935,6411.527
1674165600,20935,21086,20932,21069,5910.148
1674169200,21069,21125,21015.5,21071.5,5747.15
1674172800,21071.5,21120.5,21032.5,21056.5,6409.4
1674176400,21056.5,21147,21016.5,21119.5,6481.227
1674180000,21119.5,21218.5,21082,21082,8614.17
1674183600,21082,21117,21063,21091.5,4527.69
1674187200,21091.5,21128,20977,20997,8489.744
1674190800,20997,21037,20960,20983.5,6610.8
1674194400,20983.5,20996,20926.5,20945,5947.745
1674198000,20945,20988,20867,20958,9324.989
1674201600,20958,20975.5,20903.5,20946.5,5959.488
1674205200,20946.5,20993.5,20912,20960.5,5638.036
1674208800,20960.5,20969,20918.5,20965,3820.992
1674212400,20965,20984,20936,20964.5,3942.034
1674216000,20964.5,21118.5,20956.5,21086.5,9278.417
1674219600,21086.5,21142,21042,21060,8196.607
1674223200,21060,21166,21014.5,21152,9446.414
1674226800,21152,21245,21107.5,21144.5,12103.922
1674230400,21144.5,21410.5,21143.5,21318,18257.085
1674234000,21318,21415.5,21285.5,21355.5,12569.93
1674237600,21355.5,21437,21293.5,21380.5,7524.342
1674241200,21380.5,21528,21357,21498,10440.482
1674244800,21498,22392,21498,22290.5,45291.642
1674248400,22290.5,22453.5,22214,22314,16568.818
1674252000,22314,22747,22314,22591,25723.26
1674255600,22591,22754.5,22572,22667,10643.416
1674259200,22667,22794,22427.5,22577,22221.323
1674262800,22577,22617.5,22557,22567,3491.847
1674266400,22567,22619.5,22514,22552.5,4933.539
1674270000,22552.5,22572.5,22500,22550.5,4124.48
1674273600,22550.5,22644.5,22520,22595.5,4800.859
1674277200,22595.5,22623,22565,22572.5,2930.864
1674280800,22572.5,22624.5,22559,22620,3271.388
1674284400,22620,22673,22602,22635.5,4813.791
1674288000,22635.5,22776.5,22627.5,22703.5,8304.756
1674291600,22703.5,23113,22688.5,23037,20161.185
1674295200,23037,23338,22600.5,22788,48863.17
1674298800,22788,22957.5,22660,22910.5,11501.523
1674302400,22910.5,23082.5,22892.5,23042.5,11956.908
1674306000,23042.5,23049,22853.5,22935,11641.751
1674309600,22935,23020,22880.5,22959.5,6707.731
1674313200,22959.5,23289,22944,23005,20603.547
1674316800,23005,23273.5,22989.5,23200,13673.349
1674320400,23200,23365,23131.5,23230,18636.128
1674324000,23230,23274,23058,23256.5,12733.102
1674327600,23256.5,23317,23183,23281,6015.796
1674331200,23281,23308.5,23088,23099,7116.965
1674334800,23099,23225.5,23021,23205,5497.587
1674338400,23205,23208.5,22742,22755,9300.705
1674342000,22755,22963.5,22692,22789.5,14002.748
1674345600,22789.5,22979.5,22714,22883.5,7089.333
1674349200,22883.5,22903.5,22706.5,22810,6591.85
1674352800,22810,22844.5,22614.5,22718,7380.223
1674356400,22718,22784.5,22685,22771.5,4992.648
1674360000,22771.5,22882,22727,22856,6947.34
1674363600,22856,22904.5,22846.5,22889.5,5093.175
1674367200,22889.5,22974.5,22872.5,22930.5,6179.109
1674370800,22930.5,22968,22884,22900.5,4171.926
1674374400,22900.5,22928,22817.5,22920.5,6361.444
1674378000,22920.5,22942.5,22835,22859,6021.713
1674381600,22859,22898,22837,22873.5,3815.124
1674385200,22873.5,22877,22729.5,22779.5,7897.289
1674388800,22779.5,22868.5,22698,22868,8835.62
1674392400,22868,22923.5,22848.5,22892.5,6260.461
1674396000,22892.5,23034,22859,22988.5,7856.219
1674399600,22988.5,23071.5,22636.5,22784.5,18058.529
1674403200,22784.5,22852,22683.5,22806,6335.12
1674406800,22806,22953,22771,22916,7611.418
1674410400,22916,22929.5,22810,22830.5,6357.387
1674414000,22830.5,22846.5,22677,22712.5,7326.123
1674417600,22712.5,22724,22280,22450,22312.305
1674421200,22450,22632,22314.5,22582,9561.028
1674424800,22582,22693.5,22532,22672,5889.092
1674428400,22672,22770,22637.5,22702.5,6903.934
1674432000,22702.5,22803.5,22655.5,22739.5,6239.516
1674435600,22739.5,22818,22681.5,22687,6783.674
1674439200,22687,22751.5,22684,22750,4700.427
1674442800,22750,22768.5,22644,22655,5098.597
1674446400,22655,22749,22655,22747.5,3890.386
1674450000,22747.5,22761.5,22701.5,22716,4036.669
1674453600,22716,22784.5,22685.5,22768,5454.921
1674457200,22768,22774,22600,22687,6452.703
