トレード番号,タイプ,日時,シグナル,価格 USDT,ポジションサイズ（数量）,ポジションサイズ（金額）,純損益 USDT,純損益 %,最大順行幅 USDT,最大順行幅 %,最大逆行幅 USDT,最大逆行幅 %,累積損益 USDT,累積損益 %
7,ロングエントリー,2023-01-07 05:00,Long,16927,1,16927,11,0.06,107.5,0.64,-41,-0.24,-356.5,-0.04
8,ショート決済,2023-01-09 09:00,Long,17127.5,1,16938,-189.5,-1.12,24,0.14,-250,-1.48,-546,-0.05
8,ショートエントリー,2023-01-08 01:00,Short,16938,1,16938,-189.5,-1.12,24,0.14,-250,-1.48,-546,-0.05
9,ロング決済,2023-01-10 08:00,Short,17202,1,17127.5,74.5,0.43,265,1.55,-22,-0.13,-471.5,-0.05
9,ロングエントリー,2023-01-09 09:00,Long,17127.5,1,17127.5,74.5,0.43,265,1.55,-22,-0.13,-471.5,-0.05
10,ショート決済,2023-01-11 05:00,Long,17426,1,17202,-224,-1.30,74,0.43,-248,-1.44,-695.5,-0.07
10,ショートエントリー,2023-01-10 08:00,Short,17202,1,17202,-224,-1.30,74,0.43,-248,-1.44,-695.5,-0.07
11,ロング決済,2023-01-12 00:00,Short,17411.5,1,17426,-14.5,-0.08,75.5,0.43,-59.5,-0.34,-710,-0.07
11,ロングエントリー,2023-01-11 05:00,Long,17426,1,17426,-14.5,-0.08,75.5,0.43,-59.5,-0.34,-710,-0.07
12,ショート決済,2023-01-12 09:00,Long,17941,1,17411.5,-529.5,-3.04,92.5,0.53,-593.5,-3.41,-1239.5,-0.12
12,ショートエントリー,2023-01-12 00:00,Short,17411.5,1,17411.5,-529.5,-3.04,92.5,0.53,-593.5,-3.41,-1239.5,-0.12
13,ロング決済,2023-01-13 10:00,Short,18777,1,17941,836,4.66,1169,6.52,-33.5,-0.19,-403.5,-0.04
13,ロングエントリー,2023-01-12 09:00,Long,17941,1,17941,836,4.66,1169,6.52,-33.5,-0.19,-403.5,-0.04
14,ショート決済,2023-01-14 07:00,Long,19812.5,1,18777,-1035.5,-5.51,27.5,0.15,-1127.5,-6.00,-1439,-0.14
14,ショートエントリー,2023-01-13 10:00,Short,18777,1,18777,-1035.5,-5.51,27.5,0.15,-1127.5,-6.00,-1439,-0.14
15,ロング決済,2023-01-15 03:00,Short,20771,1,19812.5,958.5,4.84,1719.5,8.68,-81.5,-0.41,-480.5,-0.05
